"objectid","name","inc_crc","updated_at","geom_4326","geom_3414","x","y"
63809,CENTRAL CATCHMENT NATURE RESERVE,E8FAAE5721D78244,"20250205023430",POINT (103.80561735979389 1.3807709717675165),POINT (24917.20370003495 40304.172300006925),24917.20365,40304.17230415
63810,KRANJI RESERVOIR PARK B,"9DCC5F8F97E938A9","20250205023430",POINT (103.73782912997117 1.4396472545607497),POINT (17373.49120003391 46814.61880009798),17373.49115,46814.61878406
63811,EAST COAST PARK AREA E,"4EF23CFA3EF8D84D","20250124001423",POINT (103.9326275617631 1.3070449786389313),POINT (39052.17380003323 32152.12939989268),39052.17378774,32152.12939999
63812,HORTPARK,"1D4A1A987FC0D5F8","20250124001423",POINT (103.79805321601928 1.2790779706617539),POINT (24075.2491000332 29059.49049984866),24075.24914018,29059.49054999
63813,BISHAN-ANG MO KIO PARK (POND GARDENS),FABBA24170EF63BD,"20250124001423",POINT (103.83640855422084 1.3652068985913044),POINT (28343.877500034912 38583.158499983845),28343.8775306,38583.15854999
63814,SBG LC ZONE 1 (TNC),"1647DE6BA5076534","20250124001423",POINT (103.81562486238036 1.3100244521721374),POINT (26030.855800034624 32481.372799897326),26030.8558,32481.37282883
63815,SENGKANG RIVERSIDE PK,"224CFC61489D0DE2","20250124001423",POINT (103.88432517223448 1.3994482127895833),POINT (33676.34650003343 42369.4506000363),33676.3465,42369.45056274
63816,MOUNT EMILY PK,"7D0F0F0743A8873B","20250124001423",POINT (103.84761124346433 1.3043760852669966),POINT (29590.642600033796 31856.802999887936),29590.64261636,31856.80304999
63817,CITY GREEN,D942598FA3BA6367,"20250124001423",POINT (103.85602245803376 1.3118468213985968),POINT (30526.726300034003 32682.88549990094),30526.7263,32682.88548527
63818,JALAN SENANG LINEAR PARK,"03467CFFA2723E84","20250124001423",POINT (103.91718424983641 1.3255723945313547),POINT (37333.40540003333 34200.735399922065),37333.40535,34200.73537883
63819,CHOA CHU KANG PK,D9CEB77D66C4F4C5,"20250124001423",POINT (103.74745761156976 1.3862657900588096),POINT (18444.77600003405 40911.91670001567),18444.77595,40911.91672259
63820,TANJONG PAGAR PK,"975032F7DAEA3AB7","20250124001423",POINT (103.84662559569847 1.2765617285501092),POINT (29480.965100033227 28781.234299845957),29480.96512962,28781.23429999
63821,KALLANG LINEAR PARK,"66B161CB950C0723","20250124001423",POINT (103.855695269338 1.350448945955464),POINT (30490.274600033616 36951.310599959594),30490.2746,36951.31056514
63822,OLD UPPER ALJUNIED ROAD,"6E7DB17B27C6D031","20250124001423",POINT (103.87522010900422 1.3386953995946833),POINT (32663.19280003407 35651.69189994184),32663.19278409,35651.69194999
63823,AIDA PK,CFB796C88E224855,"20250124001423",POINT (103.92792692780097 1.3193796217327391),POINT (38528.984500034254 33516.01249991115),38528.9845,33516.01247374
63786,MIMOSA TERRACE PG,"005091E29A1D11ED","20250124001423",POINT (103.86044968677317 1.3840503584655546),POINT (31019.3460000335 40666.78950001224),31019.34595,40666.78947408
63787,DEW GARDEN,CFBF27D92730E139,"20250124001423",POINT (103.87106539900103 1.399266345247724),POINT (32200.712500036097 42349.31270003555),32200.7125,42349.31273678
63788,ANG MO KIO LINEAR PARK (PLOT 4),D89B688EC2BADD67,"20250925000133",POINT (103.86580841151152 1.3790331421310842),POINT (31615.711300033086 40112.01860000454),31615.71125047,40112.01864999
