"objectid","station_name","exit_code","inc_crc","updated_at","lon","lat","geom_4326","geom_3414"
14551,LAYAR LRT STATION,Exit A,"213B4B13C275292B","20231019120510",103.88015973051905,1.3920261721317324,POINT (103.88015973051905 1.3920261721317324),POINT (33212.805200034425 41548.74900002462)
14552,FARMWAY LRT STATION,Exit B,C66585DE1453A1EF,"20231019120510",103.88911501684758,1.3971334775058415,POINT (103.88911501684758 1.3971334775058415),POINT (34209.397900035336 42113.51090003257)
14553,TAMPINES MRT STATION,Exit A,"6D821717AFC18096","20231019120510",103.94476631210706,1.3537640125402173,POINT (103.94476631210706 1.3537640125402173),POINT (40402.87310003345 37318.147199965235)
14554,PASIR RIS MRT STATION,Exit A,A801E2A1E34520C9,"20231019120510",103.94933342664457,1.3728419690805276,POINT (103.94933342664457 1.3728419690805276),POINT (40911.04040003326 39427.71859999485)
14555,PASIR RIS MRT STATION,Exit B,"5F3BC6B21D0848C7","20231019120510",103.94913694034909,1.372886236352008,POINT (103.94913694034909 1.372886236352008),POINT (40889.17360003577 39432.612399994934)
14556,SEMBAWANG MRT STATION,Exit D,A612A01DC4DD39AA,"20231019120510",103.82040156029227,1.448927331537594,POINT (103.82040156029227 1.448927331537594),POINT (26562.540800035684 47840.54470011298)
14557,KHATIB MRT STATION,Exit B,DFC9A990CD03CDD1,"20231019120510",103.83270666774294,1.4171434179297155,POINT (103.83270666774294 1.4171434179297155),POINT (27931.903100033964 44326.035300063646)
14558,KHATIB MRT STATION,Exit A,"0EB1742925CA5FD4","20231019120510",103.83292241700968,1.4170582124269768,POINT (103.83292241700968 1.4170582124269768),POINT (27955.91290003354 44316.61370006348)
14559,KHATIB MRT STATION,Exit C,BEC9777C2AF5693A,"20231019120510",103.83288691369441,1.4175447068525804,POINT (103.83288691369441 1.4175447068525804),POINT (27951.961900034 44370.40780006427)
14560,BEDOK MRT STATION,Exit C,D5D6C1E315FDB9D7,"20231019120510",103.92940427968887,1.3240746458654598,POINT (103.92940427968887 1.3240746458654598),POINT (38693.379400033424 34035.17119991915)
14561,SIMEI MRT STATION,Exit A,FE7E73B9E2A00E1D,"20231019120510",103.953818676297,1.3426617945337078,POINT (103.953818676297 1.3426617945337078),POINT (41410.36110003459 36090.56609994802)
14562,KHATIB MRT STATION,Exit D,"67A576351EE1E7DB","20231019120510",103.83323102003853,1.4178690371168612,POINT (103.83323102003853 1.4178690371168612),POINT (27990.256000034467 44406.27060006477)
14563,PROMENADE MRT STATION,Exit C,DF287781847E65C1,"20231019120510",103.86023648411177,1.2941027563615055,POINT (103.86023648411177 1.2941027563615055),POINT (30995.728400033302 30720.84259987259)
14564,PAYA LEBAR MRT STATION,Exit D,"786C0A6632548330","20231019120510",103.89207769924559,1.3165877194692752,POINT (103.89207769924559 1.3165877194692752),POINT (34539.321200033286 33207.17519990752)
14565,PAYA LEBAR MRT STATION,Exit C,"0EA7336E0E7F32CF","20231019120510",103.8917211215916,1.3181492854313128,POINT (103.8917211215916 1.3181492854313128),POINT (34499.63350003459 33379.84429990996)
14566,DAKOTA MRT STATION,Exit B,AB5D405E46C647FB,"20231019120510",103.88797933768159,1.3080967504054488,POINT (103.88797933768159 1.3080967504054488),POINT (34083.23360003374 32268.276699894323)
14567,DAKOTA MRT STATION,Exit A,A66FCFFDD49C15D3,"20231019120510",103.88930721534395,1.308814187524259,POINT (103.88930721534395 1.308814187524259),POINT (34231.01230003387 32347.610499895432)
14568,MOUNTBATTEN MRT STATION,Exit A,D4AA144302569724,"20231019120510",103.8825975357342,1.3067527102284724,POINT (103.8825975357342 1.3067527102284724),POINT (33484.29190003424 32119.647199892224)
14569,MOUNTBATTEN MRT STATION,Exit B,"187A879D30D2F951","20231019120510",103.88324829270354,1.3060459256607546,POINT (103.88324829270354 1.3060459256607546),POINT (33556.71670003417 32041.495999891085)
14570,STADIUM MRT STATION,Exit A,CA5A16272BE38BEE,"20231019120510",103.87439998828935,1.3025110877234043,POINT (103.87439998828935 1.3025110877234043),POINT (32571.988200033273 31650.61389988564)
14571,STADIUM MRT STATION,Exit B,"402BA10E05281F64","20231019120510",103.87622623397485,1.3033702260202458,POINT (103.87622623397485 1.3033702260202458),POINT (32775.231200033675 31745.61639988696)
14572,NICOLL HIGHWAY MRT STATION,Exit A,CE8447F8465B2FF7,"20231019120510",103.8635059552432,1.3001696897088442,POINT (103.8635059552432 1.3001696897088442),POINT (31359.584100033957 31391.69699988202)
14573,PROMENADE MRT STATION,Exit B,BCC2873D65F6A92C,"20231019120510",103.86013688440227,1.2938620878762646,POINT (103.86013688440227 1.2938620878762646),POINT (30984.644100033587 30694.2305998722)
14574,ESPLANADE MRT STATION,Exit D,"63956E6E46ECE3E0","20231019120510",103.85583375578965,1.2926237434666497,POINT (103.85583375578965 1.2926237434666497),POINT (30505.744500034376 30557.296199870303)
14575,ESPLANADE MRT STATION,Exit F,C6AC4E01D3816D01,"20231019120510",103.85510463211058,1.2938195073126744,POINT (103.85510463211058 1.2938195073126744),POINT (30424.598200033906 30689.516899872182)
14576,ESPLANADE MRT STATION,Exit E,"5A8D40F4CDB7B0AD","20231019120510",103.85556784106937,1.2931288136602324,POINT (103.85556784106937 1.2931288136602324),POINT (30476.1500000335 30613.14399987105)
14577,TANJONG PAGAR MRT STATION,Exit H,E922D2F204D2DA84,"20231019120510",103.8464450884119,1.2754509043453175,POINT (103.8464450884119 1.2754509043453175),POINT (29460.876700034125 28658.404999843573)
14578,TANJONG PAGAR MRT STATION,Exit G,E1CC299B43F4C1C1,"20231019120510",103.8469531475443,1.277784540365026,POINT (103.8469531475443 1.277784540365026),POINT (29517.418300034482 28916.446699847278)
