"station_name","town","num_blocks","min_dist_m"
TAI SENG MRT STATION,HG,3,1153.98
TAMPINES EAST MRT STATION,TAP,457,44.85
TAMPINES EAST MRT STATION,PRC,84,783.79
TAMPINES MRT STATION,TAP,617,44.62
TAMPINES WEST MRT STATION,TAP,310,31.60
TAMPINES WEST MRT STATION,BD,26,920.95
TANAH MERAH MRT STATION,BD,167,392.98
TANJONG KATONG MRT STATION,MP,15,915.52
TANJONG PAGAR MRT STATION,CT,33,187.50
TANJONG PAGAR MRT STATION,BM,30,516.60
TANJONG RHU MRT STATION,KWN,12,1071.15
TAN KAH KEE MRT STATION,BT,10,719.42
TECK LEE LRT STATION,PG,260,460.64
TECK WHYE LRT STATION,CCK,203,69.49
TECK WHYE LRT STATION,BP,42,991.88
TECK WHYE LRT STATION,BB,5,1116.42
TELOK AYER MRT STATION,CT,36,362.52
TELOK AYER MRT STATION,BM,6,1054.76
TELOK BLANGAH MRT STATION,BM,95,107.25
THANGGAM LRT STATION,SK,227,49.88
TIONG BAHRU MRT STATION,BM,241,24.90
TIONG BAHRU MRT STATION,CT,5,1112.44
TOA PAYOH MRT STATION,TP,271,23.53
TOA PAYOH MRT STATION,KWN,46,518.10
TONGKANG LRT STATION,SK,362,42.95
TONGKANG LRT STATION,HG,80,446.14
UBI MRT STATION,GL,124,53.87
UBI MRT STATION,BD,69,467.95
UPPER CHANGI MRT STATION,TAP,136,192.61
UPPER THOMSON MRT STATION,BH,80,212.60
WOODLANDS MRT STATION,WL,538,42.87
WOODLANDS NORTH MRT STATION,WL,125,610.02
WOODLANDS SOUTH MRT STATION,WL,254,27.39
WOODLEIGH MRT STATION,TP,161,42.21
WOODLEIGH MRT STATION,SGN,36,746.76
YEW TEE MRT STATION,CCK,254,27.37
YIO CHU KANG MRT STATION,AMK,127,158.14
YISHUN MRT STATION,YS,449,81.95
